,source_user,username,target_user
13636,2767631621,garcia196711,BArevalodeLeon
13637,134830832,Chrizzao,msemillagt
13642,1183777898836221952,FPgabriel1,GuatemalaGob
13643,373142841,rolanrama,FJimenezmingob
13644,373142841,rolanrama,mingobguate
13645,373142841,rolanrama,PNCdeGuatemala
13646,373142841,rolanrama,DTransitoPNC
13647,373142841,rolanrama,_SPGuatemala
13648,373142841,rolanrama,GuatemalaGob
13649,373142841,rolanrama,BArevalodeLeon
13650,373142841,rolanrama,DiariodeCA
13651,72419881,StrangelBand,BArevalodeLeon
13652,73948999,EmmaRincon,JMilei
13653,1687480544223793152,EAlvaradoUcles7,CarlosChi87
13654,1687480544223793152,EAlvaradoUcles7,EmisorasUnidas
13655,1687480544223793152,EAlvaradoUcles7,BArevalodeLeon
13656,241147582,Kincho95,ElQueNews
13657,241147582,Kincho95,BArevalodeLeon
13658,241147582,Kincho95,FJimenezmingob
13659,241147582,Kincho95,MPguatemala
13664,1816277473027293185,alejand22363073,AbueloDeSiete
13666,1816277473027293185,alejand22363073,ArmandoLeonGt
13667,1516920849177137152,LCoquette7,DTransitoPNC
13668,1516920849177137152,LCoquette7,GuatemalaGob
13669,1516920849177137152,LCoquette7,BArevalodeLeon
13670,1674613410611208192,SilviaFern64384,BlancaL21054134
13671,1674613410611208192,SilviaFern64384,CrticaConstru20
13672,1674613410611208192,SilviaFern64384,BArevalodeLeon
13673,1822024509375049731,ElmerLandazuri7,C_SMaldonado
13674,1822024509375049731,ElmerLandazuri7,el_pais
13677,1560942543696715776,Car_Pin_,BancadaSemilla
13679,1560942543696715776,Car_Pin_,lahoragt
13680,1560942543696715776,Car_Pin_,prensa_libre
13681,1560942543696715776,Car_Pin_,EmisorasUnidas
